date,hour,birth_year,sex,province,city,fp_num
2020-01-01,6,20,female,Seoul,Gangbuk-gu,19330
2020-01-01,6,20,male,Seoul,Gangbuk-gu,21100
2020-01-01,6,20,female,Seoul,Gangdong-gu,27910
2020-01-01,6,20,male,Seoul,Gangdong-gu,30300
2020-01-01,6,20,female,Seoul,Gangnam-gu,41050
2020-01-01,6,20,male,Seoul,Gangnam-gu,39660
2020-01-01,6,20,female,Seoul,Gangseo-gu,39360
2020-01-01,6,20,male,Seoul,Gangseo-gu,38580
2020-01-01,6,20,female,Seoul,Geumcheon-gu,15300
2020-01-01,6,20,male,Seoul,Geumcheon-gu,17600
2020-01-01,6,20,female,Seoul,Guro-gu,26070
2020-01-01,6,20,male,Seoul,Guro-gu,27390
2020-01-01,6,20,female,Seoul,Gwanak-gu,41770
2020-01-01,6,20,male,Seoul,Gwanak-gu,44990
2020-01-01,6,20,female,Seoul,Gwangjin-gu,31090
2020-01-01,6,20,male,Seoul,Gwangjin-gu,30890
2020-01-01,6,20,female,Seoul,Jongno-gu,14990
2020-01-01,6,20,male,Seoul,Jongno-gu,14720
2020-01-01,6,20,female,Seoul,Jung-gu,11430
2020-01-01,6,20,male,Seoul,Jung-gu,11250
2020-01-01,6,20,female,Seoul,Jungnang-gu,25240
2020-01-01,6,20,male,Seoul,Jungnang-gu,26510
2020-01-01,6,20,female,Seoul,Mapo-gu,32910
2020-01-01,6,20,male,Seoul,Mapo-gu,32360
2020-01-01,6,20,female,Seoul,Nowon-gu,34230
2020-01-01,6,20,male,Seoul,Nowon-gu,38090
2020-01-01,6,20,female,Seoul,Seocho-gu,29900
2020-01-01,6,20,male,Seoul,Seocho-gu,28450
2020-01-01,6,20,female,Seoul,Seodaemun-gu,25020
2020-01-01,6,20,male,Seoul,Seodaemun-gu,24050
2020-01-01,6,20,female,Seoul,Seongbuk-gu,30560
2020-01-01,6,20,male,Seoul,Seongbuk-gu,30370
2020-01-01,6,20,female,Seoul,Seongdong-gu,20150
2020-01-01,6,20,male,Seoul,Seongdong-gu,21610
2020-01-01,6,20,female,Seoul,Songpa-gu,43820
2020-01-01,6,20,male,Seoul,Songpa-gu,43870
2020-01-01,6,20,female,Seoul,Yangcheon-gu,28210
2020-01-01,6,20,male,Seoul,Yangcheon-gu,30890
2020-01-01,6,20,female,Seoul,Yeongdeungpo-gu,28580
2020-01-01,6,20,male,Seoul,Yeongdeungpo-gu,28320
2020-01-01,6,20,female,Seoul,Yongsan-gu,17850
2020-01-01,6,20,male,Seoul,Yongsan-gu,17180
2020-01-01,7,20,female,Seoul,Dobong-gu,20580
2020-01-01,7,20,male,Seoul,Dobong-gu,22290
2020-01-01,7,20,female,Seoul,Dongdaemun-gu,25280
2020-01-01,7,20,male,Seoul,Dongdaemun-gu,27600
2020-01-01,7,20,female,Seoul,Dongjag-gu,28850
2020-01-01,7,20,male,Seoul,Dongjag-gu,30500
2020-01-01,7,20,female,Seoul,Eunpyeong-gu,28400
2020-01-01,7,20,male,Seoul,Eunpyeong-gu,28620
2020-01-01,7,20,female,Seoul,Gangbuk-gu,19160
2020-01-01,7,20,male,Seoul,Gangbuk-gu,20750
2020-01-01,7,20,female,Seoul,Gangdong-gu,27850
2020-01-01,7,20,male,Seoul,Gangdong-gu,30020
2020-01-01,7,20,female,Seoul,Gangnam-gu,40890
2020-01-01,7,20,male,Seoul,Gangnam-gu,39650
2020-01-01,7,20,female,Seoul,Gangseo-gu,39160
2020-01-01,7,20,male,Seoul,Gangseo-gu,38560
2020-01-01,7,20,female,Seoul,Geumcheon-gu,15300
2020-01-01,7,20,male,Seoul,Geumcheon-gu,17410
2020-01-01,7,20,female,Seoul,Guro-gu,26030
2020-01-01,7,20,male,Seoul,Guro-gu,27280
2020-01-01,7,20,female,Seoul,Gwanak-gu,41430
2020-01-01,7,20,male,Seoul,Gwanak-gu,44450
2020-01-01,7,20,female,Seoul,Gwangjin-gu,30830
2020-01-01,7,20,male,Seoul,Gwangjin-gu,30530
2020-01-01,7,20,female,Seoul,Jongno-gu,15160
2020-01-01,7,20,male,Seoul,Jongno-gu,15140
2020-01-01,7,20,female,Seoul,Jung-gu,11700
2020-01-01,7,20,male,Seoul,Jung-gu,11720
2020-01-01,7,20,female,Seoul,Jungnang-gu,24950
2020-01-01,7,20,male,Seoul,Jungnang-gu,26410
2020-01-01,7,20,female,Seoul,Mapo-gu,32030
2020-01-01,7,20,male,Seoul,Mapo-gu,30590
2020-01-01,7,20,female,Seoul,Nowon-gu,33930
2020-01-01,7,20,male,Seoul,Nowon-gu,37720
2020-01-01,7,20,female,Seoul,Seocho-gu,29380
2020-01-01,7,20,male,Seoul,Seocho-gu,28030
2020-01-01,7,20,female,Seoul,Seodaemun-gu,24830
2020-01-01,7,20,male,Seoul,Seodaemun-gu,24040
2020-01-01,7,20,female,Seoul,Seongbuk-gu,30590
2020-01-01,7,20,male,Seoul,Seongbuk-gu,30450
2020-01-01,7,20,female,Seoul,Seongdong-gu,20260
2020-01-01,7,20,male,Seoul,Seongdong-gu,21680
2020-01-01,7,20,female,Seoul,Songpa-gu,43570
2020-01-01,7,20,male,Seoul,Songpa-gu,43920
2020-01-01,7,20,female,Seoul,Yangcheon-gu,28080
2020-01-01,7,20,male,Seoul,Yangcheon-gu,30790
2020-01-01,7,20,female,Seoul,Yeongdeungpo-gu,28840
2020-01-01,7,20,male,Seoul,Yeongdeungpo-gu,28560
2020-01-01,7,20,female,Seoul,Yongsan-gu,17740
2020-01-01,7,20,male,Seoul,Yongsan-gu,16820
2020-01-01,8,20,female,Seoul,Dobong-gu,20550
2020-01-01,8,20,male,Seoul,Dobong-gu,22160
2020-01-01,8,20,female,Seoul,Dongdaemun-gu,25370
2020-01-01,8,20,male,Seoul,Dongdaemun-gu,27820
2020-01-01,8,20,female,Seoul,Dongjag-gu,29060
2020-01-01,8,20,male,Seoul,Dongjag-gu,31220
2020-01-01,8,20,female,Seoul,Eunpyeong-gu,28370
2020-01-01,8,20,male,Seoul,Eunpyeong-gu,28970
2020-01-01,8,20,female,Seoul,Gangbuk-gu,19010
2020-01-01,8,20,male,Seoul,Gangbuk-gu,20710
2020-01-01,8,20,female,Seoul,Gangdong-gu,27480
2020-01-01,8,20,male,Seoul,Gangdong-gu,29980
2020-01-01,8,20,female,Seoul,Gangnam-gu,41950
2020-01-01,8,20,male,Seoul,Gangnam-gu,40140
2020-01-01,8,20,female,Seoul,Gangseo-gu,38930
2020-01-01,8,20,male,Seoul,Gangseo-gu,38670
2020-01-01,8,20,female,Seoul,Geumcheon-gu,15330
2020-01-01,8,20,male,Seoul,Geumcheon-gu,17550
2020-01-01,8,20,female,Seoul,Guro-gu,26190
2020-01-01,8,20,male,Seoul,Guro-gu,27620
2020-01-01,8,20,female,Seoul,Gwanak-gu,41420
2020-01-01,8,20,male,Seoul,Gwanak-gu,44650
2020-01-01,8,20,female,Seoul,Gwangjin-gu,30280
2020-01-01,8,20,male,Seoul,Gwangjin-gu,30050
2020-01-01,8,20,female,Seoul,Jongno-gu,15330
2020-01-01,8,20,male,Seoul,Jongno-gu,15860
2020-01-01,8,20,female,Seoul,Jung-gu,12790
2020-01-01,8,20,male,Seoul,Jung-gu,12530
2020-01-01,8,20,female,Seoul,Jungnang-gu,24990
2020-01-01,8,20,male,Seoul,Jungnang-gu,26460
2020-01-01,8,20,female,Seoul,Mapo-gu,30860
2020-01-01,8,20,male,Seoul,Mapo-gu,29000
2020-01-01,8,20,female,Seoul,Nowon-gu,33770
2020-01-01,8,20,male,Seoul,Nowon-gu,37610
2020-01-01,8,20,female,Seoul,Seocho-gu,29640
2020-01-01,8,20,male,Seoul,Seocho-gu,28450
2020-01-01,8,20,female,Seoul,Seodaemun-gu,24970
2020-01-01,8,20,male,Seoul,Seodaemun-gu,24170
2020-01-01,8,20,female,Seoul,Seongbuk-gu,30560
2020-01-01,8,20,male,Seoul,Seongbuk-gu,30790
2020-01-01,8,20,female,Seoul,Seongdong-gu,19930
2020-01-01,8,20,male,Seoul,Seongdong-gu,21580
2020-01-01,8,20,female,Seoul,Songpa-gu,43870
2020-01-01,8,20,male,Seoul,Songpa-gu,44010
2020-01-01,8,20,female,Seoul,Yangcheon-gu,28090
2020-01-01,8,20,male,Seoul,Yangcheon-gu,30550
2020-01-01,8,20,female,Seoul,Yeongdeungpo-gu,28650
2020-01-01,8,20,male,Seoul,Yeongdeungpo-gu,28470
2020-01-01,8,20,female,Seoul,Yongsan-gu,17130
2020-01-01,8,20,male,Seoul,Yongsan-gu,16500
2020-01-01,9,20,female,Seoul,Dobong-gu,20280
2020-01-01,9,20,male,Seoul,Dobong-gu,22210
2020-01-01,9,20,female,Seoul,Dongdaemun-gu,25200
2020-01-01,9,20,male,Seoul,Dongdaemun-gu,27520
2020-01-01,9,20,female,Seoul,Dongjag-gu,29130
2020-01-01,9,20,male,Seoul,Dongjag-gu,31270
2020-01-01,9,20,female,Seoul,Eunpyeong-gu,28170
2020-01-01,9,20,male,Seoul,Eunpyeong-gu,28670
2020-01-01,9,20,female,Seoul,Gangbuk-gu,18790
2020-01-01,9,20,male,Seoul,Gangbuk-gu,20470
